No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);14.52839888397648;9.388133296236747;0.00921688397647813;0.0;2.450286;1.4701716;12.068896000000002;7.9179616962367465
2;BasicConv2d: 1-1;[1, 64, 112, 112];25.136750000000003;15.758674096236746;0;0;13.067854;7.8407124;12.068896000000002;7.9179616962367465
3;MaxPool2d: 1-2;[1, 64, 56, 56];14.106622000000002;9.300489575789218;0;0;3.267038;1.9602228;10.839584000000002;7.3402667757892175
4;BasicConv2d: 1-3;[1, 64, 56, 56];14.106622000000002;9.300489575789218;0;0;3.267038;1.9602228;10.839584000000002;7.3402667757892175
5;BasicConv2d: 1-4;[1, 192, 56, 56];20.540078;13.130757499546705;0;0;9.800846;5.8805076;10.739232000000001;7.250249899546706
6;MaxPool2d: 1-5;[1, 192, 28, 28];23.35427890802318;6.873570424909705;12.874264908023179;0.0;2.450286;1.4701716;8.029728;5.403398824909705
7;Inception: 1-6;[1, 256, 28, 28];11.296766;7.363621624909705;0;0;3.267038;1.9602228;8.029728;5.403398824909705
8;Inception: 1-7;[1, 480, 28, 28];13.205086000000001;8.429630801956243;0;0;6.125566;3.6753396;7.0795200000000005;4.754291201956242
9;MaxPool2d: 1-8;[1, 480, 14, 14];35.63285937100038;4.29428496393017;29.097853371000383;0.0;1.531518;0.9189108;5.003488;3.3753741639301693
10;Inception: 1-9;[1, 512, 14, 14];39.10918102700554;4.355494563930169;32.472159027005546;0.0;1.633534;0.9801204;5.003488;3.3753741639301693
11;Inception: 1-10;[1, 512, 14, 14];45.499526531075105;3.966724368015178;39.48225653107511;0.0;1.633534;0.9801204;4.383736;2.986603968015178
12;Inception: 1-11;[1, 512, 14, 14];48.063941351037684;3.5213685946633517;42.69582335103769;0.0;1.633534;0.9801204;3.734584;2.5412481946633516
13;Inception: 1-12;[1, 528, 14, 14];48.63500117200257;3.05475729537331;43.958323172002565;0.0;1.684542;1.0107252;2.992136;2.04403209537331
14;Inception: 1-13;[1, 832, 14, 14];59.10387476501624;3.0590660078728655;54.33294076501625;0.0;2.6545259999999997;1.5927155999999998;2.116408;1.4663504078728657
15;MaxPool2d: 1-14;[1, 832, 7, 7];54.96086649499855;1.0450069292262718;53.40844449499855;0.0;0.6637580000000001;0.3982548;0.8886639999999999;0.6467521292262718
16;Inception: 1-15;[1, 832, 7, 7];57.82662331699182;1.0450069292262718;56.27420131699182;0.0;0.6637580000000001;0.3982548;0.8886639999999999;0.6467521292262718
17;Inception: 1-16;[1, 1024, 7, 7];63.41904487998539;0.8620575825796679;62.08756687998539;0.0;0.816782;0.49006920000000004;0.5146959999999999;0.37198838257966793
18;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];61.86646863505982;0.010098;61.84963863505982;0.0;0.016829999999999998;0.010098;0.0;0.0
19;Linear: 1-19;[1, 1000];60.447827560920274;0.0098676;60.43138156092027;0.0;0.016446000000000002;0.0098676;0.0;0.0
