No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);209.69651592842422;141.37631256407732;0.00680592842400074;0.0;2.450286;1.4701716;207.2394240000002;139.90614096407734
2;Conv2d: 2-1;[1, 64, 112, 112];220.30727800000022;147.74685336407734;0;0;13.067854;7.8407124;207.2394240000002;139.90614096407734
3;BatchNorm2d: 2-2;[1, 64, 112, 112];219.07796600000023;147.1691584436298;0;0;13.067854;7.8407124;206.01011200000022;139.3284460436298
4;ReLU: 2-3;[1, 64, 112, 112];219.07796600000023;147.1691584436298;0;0;13.067854;7.8407124;206.01011200000022;139.3284460436298
5;MaxPool2d: 2-4;[1, 64, 56, 56];210.73579925161027;141.2886688436298;1.4586492516100407;0.0;3.267038;1.9602228;206.01011200000022;139.3284460436298
6;Bottleneck: 3-1;[1, 256, 56, 56];219.07796600000023;147.1691584436298;0;0;13.067854;7.8407124;206.01011200000022;139.3284460436298
7;Bottleneck: 3-2;[1, 256, 56, 56];217.27163000000024;145.9585536029744;0;0;13.067854;7.8407124;204.20377600000023;138.1178412029744
8;Bottleneck: 3-3;[1, 256, 56, 56];215.56564600000024;144.79644924465148;0;0;13.067854;7.8407124;202.49779200000023;136.95573684465148
9;Bottleneck: 3-4;[1, 512, 28, 28];217.01503135945455;139.71406008632857;9.689177359454334;0.0;6.534046;3.9204276;200.79180800000023;135.79363248632856
10;Bottleneck: 3-5;[1, 512, 28, 28];215.59396742021528;137.43122306493203;11.17832142021507;0.0;6.534046;3.9204276;197.88160000000022;133.51079546493202
11;Bottleneck: 3-6;[1, 512, 28, 28];214.9135365675238;136.25358134068367;12.203874567523599;0.0;6.534046;3.9204276;196.17561600000022;132.33315374068366
12;Bottleneck: 3-7;[1, 512, 28, 28];214.36575188341448;135.0759396164353;13.362073883414268;0.0;6.534046;3.9204276;194.46963200000022;131.1555120164353
13;Bottleneck: 3-8;[1, 1024, 28, 28];205.83150200000023;137.81858269218694;0;0;13.067854;7.8407124;192.76364800000022;129.97787029218694
14;Bottleneck: 3-9;[1, 1024, 28, 28];196.5991180000002;131.02657342860283;0;0;13.067854;7.8407124;183.5312640000002;123.18586102860283
15;Bottleneck: 3-10;[1, 1024, 28, 28];189.77518200000017;126.13517600801251;0;0;13.067854;7.8407124;176.70732800000016;118.2944636080125
16;Bottleneck: 3-11;[1, 1024, 28, 28];182.95124600000014;121.24377858742218;0;0;13.067854;7.8407124;169.88339200000013;113.40306618742218
17;Bottleneck: 3-12;[1, 1024, 28, 28];176.1273100000001;116.35238116683186;0;0;13.067854;7.8407124;163.0594560000001;108.51166876683186
18;Bottleneck: 3-13;[1, 1024, 28, 28];169.30337400000008;111.46098374624154;0;0;13.067854;7.8407124;156.23552000000007;103.62027134624154
19;Bottleneck: 3-14;[1, 2048, 28, 28];175.54705400000003;114.41015592565121;0;0;26.13547;15.681282000000001;149.41158400000003;98.72887392565121
20;Bottleneck: 3-15;[1, 2048, 28, 28];138.61751800000002;87.07958424652622;0;0;26.13547;15.681282000000001;112.482048;71.39830224652623
21;Bottleneck: 3-16;[1, 2048, 28, 28];111.321774;67.85357887059688;0;0;26.13547;15.681282000000001;85.186304;52.172296870596874
22;Conv2d: 2-9;[1, 512, 28, 28];169.62413854424037;36.86671909466753;105.19953254424036;0.0;6.534046;3.9204276;57.89056;32.94629149466753
23;BatchNorm2d: 2-10;[1, 512, 28, 28];108.1988409023934;4.019829566719415;101.5769869023934;0.0;6.534046;3.9204276;0.087808;0.09940196671941506
24;ReLU: 2-11;[1, 512, 28, 28];108.05749440865749;4.019829566719415;101.43564040865749;0.0;6.534046;3.9204276;0.087808;0.09940196671941506
25;Conv2d: 2-13;[1, 21, 28, 28];102.64099545792537;0.26021996671941505;102.28515745792538;0.0;0.26803;0.160818;0.087808;0.09940196671941506
