No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);86.87808949589885;1.4701716;0;0;2.450286;1.4701716;84.42780349589884;0
2;MaxPool2d: 2-4;[1, 64, 56, 56];87.12813767343509;1.9602228;0;0;3.267038;1.9602228;83.86109967343509;0
3;Bottleneck: 3-4;[1, 512, 28, 28];75.51849940059698;3.9204276;0;0;6.534046;3.9204276;68.98445340059698;0
4;Bottleneck: 3-5;[1, 512, 28, 28];71.92191512336946;3.9204276;0;0;6.534046;3.9204276;65.38786912336946;0
5;Bottleneck: 3-6;[1, 512, 28, 28];70.66925687914706;3.9204276;0;0;6.534046;3.9204276;64.13521087914705;0
6;Bottleneck: 3-7;[1, 512, 28, 28];71.77114347195244;3.9204276;0;0;6.534046;3.9204276;65.23709747195244;0
7;Conv2d: 2-9;[1, 512, 28, 28];6.92269110692656;3.9204276;0;0;6.534046;3.9204276;0.3886451069265604;0
8;BatchNorm2d: 2-10;[1, 512, 28, 28];6.826657705139279;3.9204276;0;0;6.534046;3.9204276;0.29261170513927937;0
9;ReLU: 2-11;[1, 512, 28, 28];6.762784319128752;3.9204276;0;0;6.534046;3.9204276;0.22873831912875175;0
10;Conv2d: 2-13;[1, 21, 28, 28];0.2724636840510368;0.160818;0;0;0.26803;0.160818;0.004433684051036835;0
